param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
0	simdParse	10.09	0.98	1.0579	0.000000	0.000000	0.000000	0.000000	0.000000
0	fastCsv	3.65	0.02	0.3830	0.000000	0.000000	0.000000	0.000000	0.000000
5	simdParse	8.33	0.12	0.8731	0.000000	0.000000	0.000000	0.000000	0.000000
5	fastCsv	3.33	0.46	0.3489	0.000000	0.000000	0.000000	0.000000	0.000000
25	simdParse	5.88	2.03	0.6161	0.000000	0.000000	0.000000	0.000000	0.000000
25	fastCsv	2.74	0.51	0.2870	0.000000	0.000000	0.000000	0.000000	0.000000
50	simdParse	4.56	4.12	0.4786	0.000000	0.000000	0.000000	0.000000	0.000000
50	fastCsv	2.50	0.81	0.2618	0.000000	0.000000	0.000000	0.000000	0.000000
