param	method	ops_s	ops_s_err	gb_s	instructions	cycles	branches	branch_misses	L1_dcache_load_misses
10	simdParse	4.10	5.46	0.4294	0.000000	0.000000	0.000000	0.000000	0.000000
10	fastCsv	2.52	0.12	0.2646	0.000000	0.000000	0.000000	0.000000	0.000000
16	simdParse	8.33	0.12	0.8731	0.000000	0.000000	0.000000	0.000000	0.000000
16	fastCsv	3.33	0.46	0.3489	0.000000	0.000000	0.000000	0.000000	0.000000
25	simdParse	8.54	0.77	0.8959	0.000000	0.000000	0.000000	0.000000	0.000000
25	fastCsv	4.28	0.50	0.4485	0.000000	0.000000	0.000000	0.000000	0.000000
50	simdParse	11.43	1.23	1.1984	0.000000	0.000000	0.000000	0.000000	0.000000
50	fastCsv	5.89	0.23	0.6180	0.000000	0.000000	0.000000	0.000000	0.000000
